match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:00:00,1,1,1,0,0,0,0,0,0,2,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.279,3.05,1,4,0,0,1,550,45.0,46.33749367201738
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:00:25,1,1,2,0,0,0,0,0,1,2,1,2,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.983,1.673,1,1,0,1,0,550,45.0,48.924949379555834
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:00:38,1,1,3,0,0,0,0,0,2,2,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.019,5.167,1,4,1,1,0,550,45.0,49.012329175216934
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:00:53,1,1,4,0,0,0,0,0,3,2,2,2,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.671,4.228,1,2,0,1,0,550,45.0,51.360331843486186
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:02:03,1,2,5,0,0,0,1,0,0,1,2,2,0,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.37,2.121,0,3,1,0,1,551,46.0,56.686709429068166
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:02:35,1,2,6,0,0,0,1,0,1,1,1,1,1,5,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.118,9.684,3,1,0,0,0,551,46.83749367201738,55.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:03:16,1,2,7,0,0,0,1,1,1,1,2,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.725,3.234,1,4,0,0,0,551,47.674949379555834,55.35
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:03:51,1,2,8,0,0,0,1,2,1,1,2,1,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.64,24.526,7,4,1,0,0,551,49.012329175216934,55.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:04:40,1,2,9,0,0,0,1,3,1,1,2,2,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.184,19.289,6,2,0,1,0,551,48.0,56.33749367201738
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:05:30,1,2,10,0,0,0,1,3,2,1,1,1,4,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.852,5.808,1,0,1,0,0,551,50.3495951457469,56.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:05:58,1,3,11,0,0,1,1,0,0,2,1,1,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.438,7.279,2,3,0,1,1,552,55.674949379555834,56.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:06:15,1,3,12,0,0,1,1,1,0,2,1,2,5,7,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968,0.777,1,1,1,0,0,552,55.0,58.58749367201738
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:06:30,1,3,13,0,0,1,1,1,1,2,1,2,5,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.688,0.542,1,1,0,0,0,552,55.0,59.924949379555834
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:06:45,1,3,14,0,0,1,1,1,2,2,2,2,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.631,3.611,1,0,1,0,0,552,55.0,60.012329175216934
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:07:28,1,3,15,0,0,1,1,1,3,2,1,2,5,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.312,4.642,1,2,0,1,0,552,55.0,62.360331843486186
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:09:04,1,4,16,0,0,1,2,0,0,1,1,1,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.127,5.716,1,1,0,0,1,553,56.33749367201738,65.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:09:24,1,4,17,0,0,1,2,1,0,1,1,1,7,10,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.512,9.942,3,0,0,0,0,553,58.174949379555834,65.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:09:50,1,4,18,0,0,1,2,2,0,1,1,1,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.017,4.509,1,0,0,0,0,553,59.012329175216934,65.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:10:12,1,4,19,0,0,1,2,3,0,1,1,2,8,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.995,8.466,2,4,0,0,0,553,58.35,66.33749367201739
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:10:37,1,4,20,0,0,1,2,3,1,1,1,1,9,11,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,48.046,46.277,13,1,0,1,0,553,61.1495951457469,66.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:11:28,1,5,21,0,0,2,2,0,0,2,1,2,9,12,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.266,15.603,5,0,1,0,1,554,64.0,68.13749367201738
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:11:51,1,5,22,0,0,2,2,0,1,2,2,1,10,12,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,15.136,15.074,4,4,0,1,0,554,65.63749367201738,67.0
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:12:24,1,5,23,0,0,2,2,1,1,2,2,1,11,12,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10.153,11.442,4,1,0,0,0,554,67.17494937955584,67.3
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:13:04,1,5,24,0,0,2,2,2,1,2,1,2,11,13,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9.728,10.783,3,0,0,0,0,554,66.0,69.13749367201738
2023-wimbledon-1315,Lorenzo Musetti,Hubert Hurkacz,00:13:29,1,5,25,0,0,2,2,2,2,2,1,2,11,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.013,4.482,1,1,0,0,0,554,66.0,69.67494937955584
