match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum,cal_m_1,cal_m_2
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.0,1,1,1,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.121,4.011,1,2,0,1,1,103,47.7481268731046,44.85,1.0,1.0
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.01138888888888889,1,1,2,0,0,0,0,1,0,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.312,3.877,1,2,0,1,0,103,50.985059758123015,44.85,0.9964595337878623,0.9978306324054077
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.019166666666666665,1,1,3,0,0,0,0,2,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.046,8.669,1,0,1,0,0,103,54.19982651304931,44.5,0.9940417000382409,0.9963491235661355
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.024722222222222222,1,1,4,0,0,0,0,3,0,1,1,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.162,6.163,1,3,1,0,0,103,61.60906756032159,44.5,0.9923147169345962,0.9952909123995584
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.045,1,2,5,0,0,1,0,0,0,2,2,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.342,2.573,1,3,0,0,1,104,53.5,47.7481268731046,0.9860116948525073,0.991428548908027
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.05277777777777778,1,2,6,0,0,1,0,0,1,2,1,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.974,7.806,3,1,0,0,0,104,53.5,50.985059758123015,0.9835943649704094,0.9899471559938398
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.06361111111111112,1,2,7,0,0,1,0,0,2,2,1,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,16.246,13.794,3,0,1,1,0,104,53.85,54.19982651304931,0.9802276955130126,0.9878838622438079
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.07027777777777777,1,2,8,0,0,1,0,0,3,2,2,2,4,4,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.828,12.621,3,0,0,0,0,104,53.85,61.60906756032159,0.9781561169036354,0.9866141931741793
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.0825,1,3,9,0,0,1,1,0,0,1,2,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.138,6.177,1,4,0,1,1,105,56.7481268731046,53.5,0.9743587227281056,0.9842865816046902
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.09138888888888888,1,3,10,0,0,1,1,1,0,1,1,1,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.927,4.275,1,1,0,0,0,105,59.985059758123015,53.5,0.9715974399602437,0.9825938787119698
2023-wimbledon-1304,Alejandro Davidovich Fokina,Holger Rune,0.09972222222222221,1,3,11,0,0,1,1,2,0,1,2,1,7,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.757,9.224,3,4,0,1,0,105,63.19982651304931,53.85,0.969009130187247,0.9810070601779155
