match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.367,12.274,3,3,0,0,1,435,45.0,46.63749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:00:24,1,1,2,0,0,0,0,0,1,2,1,1,1,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.645,12.475,4,3,0,0,0,435,46.83749367201738,46.3
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:00:52,1,1,3,0,0,0,0,1,1,2,1,1,2,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.005,19.286,8,1,1,0,0,435,48.174949379555834,46.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:01:31,1,1,4,0,0,0,0,2,1,2,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,20.651,24.644,5,4,1,0,0,435,47.0,47.63749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:02:03,1,1,5,0,0,0,0,2,2,2,2,1,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.575,13.101,4,1,0,0,0,435,48.33749367201738,47.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:02:57,1,1,6,0,0,0,0,3,2,2,2,1,4,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,16.294,12.385,4,3,0,0,0,435,60.686709429068166,47.35
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:04:14,1,2,7,0,0,1,0,0,0,1,2,2,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.923,18.648,4,1,0,1,1,436,54.35,48.33749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:05:07,1,2,8,0,0,1,0,0,1,1,2,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.564,10.663,2,3,0,0,0,436,54.35,49.674949379555834
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:05:46,1,2,9,0,0,1,0,0,2,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.197,5.461,1,0,1,1,0,436,55.33749367201738,49.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:06:11,1,2,10,0,0,1,0,1,2,1,2,1,6,4,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.354,9.795,3,2,0,1,0,436,57.174949379555834,49.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:07:06,1,2,11,0,0,1,0,2,2,1,2,2,6,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2.374,2.579,0,4,0,0,0,436,57.0,50.33749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:07:41,1,2,12,0,0,1,0,2,3,1,1,1,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6.897,8.391,1,4,1,1,0,436,57.33749367201738,52.5
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:08:08,1,2,13,0,0,1,0,3,3,1,1,2,7,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9.321,13.499,2,0,1,0,0,436,57.35,51.33749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:08:40,1,2,14,0,0,1,0,3,4,1,2,2,7,7,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,27.1,41.868,4,3,1,1,0,436,57.35,63.686709429068166
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:09:28,1,3,15,0,0,1,1,0,0,2,2,1,8,7,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.074,3.356,0,0,1,1,1,437,58.33749367201738,58.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:09:56,1,3,16,0,0,1,1,1,0,2,2,2,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8.424,6.046,1,4,0,0,0,437,58.35,58.33749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:10:22,1,3,17,0,0,1,1,1,1,2,1,1,9,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,32.287,36.498,10,1,0,0,0,437,59.33749367201738,58.35
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:11:02,1,3,18,0,0,1,1,2,1,2,1,2,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.103,4.724,1,1,0,0,0,437,59.0,59.33749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:11:25,1,3,19,0,0,1,1,2,2,2,2,1,10,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.816,47.324,12,0,1,1,0,437,60.83749367201738,59.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:12:27,1,3,20,0,0,1,1,3,2,2,2,1,11,9,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,8.481,7.724,2,3,0,1,0,437,72.68670942906817,59.35
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:14:40,1,4,21,0,0,2,1,0,0,1,1,2,11,10,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,37.96,45.467,12,1,0,1,1,438,66.3,60.83749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:15:25,1,4,22,0,0,2,1,0,1,1,2,2,11,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,20.115,16.069,4,1,0,0,0,438,66.3,61.674949379555834
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:16:08,1,4,23,0,0,2,1,0,2,1,1,1,12,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.482,8.251,1,0,1,0,0,438,67.83749367201739,61.0
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:16:34,1,4,24,0,0,2,1,1,2,1,2,2,12,12,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.869,6.418,2,0,1,1,0,438,67.0,62.83749367201738
2023-wimbledon-1312,Denis Shapovalov,Liam Broady,00:17:40,1,4,25,0,0,2,1,1,3,1,2,1,13,12,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,16.638,22.531,5,2,0,0,0,438,69.13749367201738,64.5
