match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:00:00,1,1,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.431,15.414,3,4,0,0,1,154,46.33749367201738,45.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:00:21,1,1,2,0,0,0,0,1,0,1,1,1,2,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.582,8.545,3,1,0,0,0,154,48.174949379555834,45.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:00:41,1,1,3,0,0,0,0,2,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.989,10.337,2,4,0,1,0,154,47.0,46.33749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:01:11,1,1,4,0,0,0,0,2,1,1,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.464,6.812,1,3,0,1,0,154,48.33749367201738,46.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:01:39,1,1,5,0,0,0,0,3,1,1,2,2,3,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.772,9.738,2,3,0,0,0,154,48.35,47.33749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:02:04,1,1,6,0,0,0,0,3,2,1,1,1,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.594,6.557,1,3,1,0,0,154,50.3495951457469,47.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:03:07,1,2,7,0,0,1,0,0,0,2,2,1,5,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.558,20.562,6,1,0,0,1,155,55.674949379555834,47.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:03:49,1,2,8,0,0,1,0,1,0,2,1,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.275,5.752,1,3,0,1,0,155,55.0,48.33749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:04:30,1,2,9,0,0,1,0,1,1,2,1,1,6,3,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.465,39.343,10,3,0,0,0,155,56.83749367201738,48.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:05:20,1,2,10,0,0,1,0,2,1,2,2,1,7,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.553,17.717,4,0,0,0,0,155,57.674949379555834,48.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:06:07,1,2,11,0,0,1,0,3,1,2,1,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.25,6.381,1,0,1,1,0,155,59.5,49.33749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:06:37,1,2,12,0,0,1,0,3,2,2,2,2,7,5,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,1,0,0,0,1,0,19.078,11.126,3,0,1,0,0,155,59.5,51.47494937955583
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:07:16,1,2,13,0,0,1,0,3,3,2,2,2,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.263,66.178,15,3,0,1,0,155,57.0,52.012329175216934
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:08:24,1,2,14,0,0,1,0,3,4,2,1,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.397,13.273,1,0,0,0,0,155,57.0,54.360331843486186
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:08:58,1,3,15,0,0,1,1,0,0,1,1,1,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.352,8.612,1,1,1,0,1,156,58.33749367201738,57.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:09:16,1,3,16,0,0,1,1,1,0,1,2,2,8,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.912,9.81,2,2,0,1,0,156,58.35,58.33749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:09:42,1,3,17,0,0,1,1,1,1,1,2,2,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.36,9.22,2,3,0,1,0,156,58.0,59.674949379555834
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:10:08,1,3,18,0,0,1,1,1,2,1,2,2,8,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.808,13.2,2,3,0,0,0,156,58.0,61.012329175216934
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:10:40,1,3,19,0,0,1,1,1,3,1,2,1,9,10,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,31.083,38.099,7,2,0,0,0,156,59.33749367201738,63.15
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:11:22,1,3,20,0,0,1,1,2,3,1,2,2,9,11,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,25.96,28.898,10,1,1,0,0,156,59.0,73.8603318434862
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:13:26,1,4,21,0,0,1,2,0,0,2,1,1,10,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8.906,5.755,2,0,1,1,1,157,60.33749367201738,66.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:13:49,1,4,22,0,0,1,2,1,0,2,1,2,10,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.063,5.037,1,1,0,1,0,157,60.0,67.33749367201739
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:14:15,1,4,23,0,0,1,2,1,1,2,1,2,10,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,5.276,9.059,1,3,0,0,0,157,60.0,68.97494937955584
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:14:43,1,4,24,0,0,1,2,1,2,2,2,2,10,14,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.421,9.907,1,0,1,1,0,157,60.35,70.01232917521693
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:15:17,1,4,25,0,0,1,2,1,3,2,1,2,10,15,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.64,20.108,5,1,0,1,0,157,60.35,74.37364977248208
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:15:56,1,5,26,0,0,1,3,0,0,1,1,1,11,15,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,16.717,25.903,5,0,1,0,1,158,62.13749367201738,75.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:16:26,1,5,27,0,0,1,3,1,0,1,2,1,12,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.157,5.886,1,1,0,1,0,158,62.674949379555834,75.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:16:50,1,5,28,0,0,1,3,2,0,1,1,2,12,16,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.792,11.934,2,0,1,0,0,158,62.35,76.33749367201739
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:17:07,1,5,29,0,0,1,3,2,1,1,1,1,13,16,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,76.317,80.367,19,1,0,0,0,158,63.63749367201738,76.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:18:03,1,5,30,0,0,1,3,3,1,1,2,2,13,17,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.118,23.309,6,1,0,0,0,158,63.0,77.83749367201739
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:18:36,1,5,31,0,0,1,3,3,2,1,1,2,13,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.927,9.444,2,3,0,1,0,158,63.0,78.67494937955584
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:18:57,1,5,32,0,0,1,3,3,3,1,1,1,14,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.417,7.556,1,1,1,1,0,158,64.33749367201739,78.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:19:12,1,5,33,0,0,1,3,4,3,1,1,2,14,19,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.813,8.407,2,1,0,0,0,158,64.35,79.33749367201739
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:19:34,1,5,34,0,0,1,3,4,4,1,1,1,15,19,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,36.617,39.731,9,3,0,1,0,158,65.33749367201739,79.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:20:13,1,5,35,0,0,1,3,5,4,1,1,1,16,19,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.917,13.075,3,0,1,0,0,158,68.18670942906817,79.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:22:12,1,6,36,0,0,2,3,0,0,2,1,2,16,20,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24.208,14.012,5,0,1,1,1,159,71.0,81.13749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:22:44,1,6,37,0,0,2,3,0,1,2,1,1,17,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.42,18.589,4,1,0,1,0,159,72.33749367201739,80.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:23:16,1,6,38,0,0,2,3,1,1,2,1,2,17,21,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,22.331,18.812,5,0,1,0,0,159,72.0,82.13749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:23:52,1,6,39,0,0,2,3,1,2,2,2,1,18,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.33,23.317,6,2,0,0,0,159,73.33749367201739,81.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:24:45,1,6,40,0,0,2,3,2,2,2,1,2,18,22,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,7.964,10.629,3,0,1,0,0,159,73.0,83.13749367201738
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:25:16,1,6,41,0,0,2,3,2,3,2,1,2,18,23,2,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.736,21.002,3,0,1,0,0,159,73.0,85.48670942906817
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:25:48,1,7,42,0,0,2,4,0,0,1,1,1,19,23,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.521,35.198,5,0,1,1,1,160,74.83749367201739,88.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:26:19,1,7,43,0,0,2,4,1,0,1,1,2,19,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.327,14.963,2,1,0,1,0,160,74.35,89.33749367201739
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:26:38,1,7,44,0,0,2,4,1,1,1,1,2,19,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.154,30.927,8,1,0,1,0,160,74.0,90.67494937955584
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:27:09,1,7,45,0,0,2,4,1,2,1,1,1,20,25,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.738,25.54,7,1,0,0,0,160,75.33749367201739,90.35
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:27:42,1,7,46,0,0,2,4,2,2,1,1,1,21,25,0,0,0,0,1,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,20.272,30.431,5,3,0,1,0,160,77.47494937955584,90.0
2023-wimbledon-1305,Daniil Medvedev,Marton Fucsovics,00:28:13,1,7,47,0,0,2,4,3,2,1,1,1,22,25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.468,6.151,1,1,1,0,0,160,79.02363423126201,90.0
