match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,serve_width,serve_depth,return_depth,new_game,game_id,p1_momentum,p2_momentum
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:00:00,1,1,1,0,0,0,0,0,0,1,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9.764,11.387,0,2,0,1,1,406,45.0,47.13749367201738
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:00:41,1,1,2,0,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.775,21.446,0,4,0,0,0,406,46.33749367201738,46.0
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:01:04,1,1,3,0,0,0,0,1,1,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.127,1.85,0,3,0,0,0,406,47.674949379555834,46.0
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:01:33,1,1,4,0,0,0,0,2,1,1,2,2,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,26.551,30.278,0,1,0,0,0,406,47.35,47.33749367201738
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:02:17,1,1,5,0,0,0,0,2,2,1,2,2,2,3,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,13.563,18.046,0,3,0,1,0,406,47.0,49.47494937955583
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:02:55,1,1,6,0,0,0,0,2,3,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,15.516,14.652,0,3,0,0,0,406,48.63749367201738,50.5
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:03:22,1,1,7,0,0,0,0,3,3,1,1,1,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.534,27.671,0,1,0,0,0,406,49.674949379555834,48.35
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:03:55,1,1,8,0,0,0,0,4,3,1,2,2,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15.648,19.659,0,1,1,1,0,406,49.35,49.33749367201738
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:04:34,1,1,9,0,0,0,0,4,4,1,1,2,4,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,24.519,28.371,0,0,0,1,0,406,49.0,50.97494937955583
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:05:06,1,1,10,0,0,0,0,4,5,1,2,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,18.185,19.888,0,4,0,0,0,406,49.0,63.02363423126201
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:06:53,1,2,11,0,0,0,1,0,0,2,1,1,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.063,15.729,0,3,0,1,1,407,50.33749367201738,56.35
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:07:19,1,2,12,0,0,0,1,1,0,2,1,1,6,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.12,8.326,0,3,0,1,0,407,51.674949379555834,56.35
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:07:44,1,2,13,0,0,0,1,2,0,2,1,2,6,7,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.983,12.082,0,3,0,0,0,407,51.0,57.83749367201738
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:08:13,1,2,14,0,0,0,1,2,1,2,1,2,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,14.302,17.136,0,4,0,0,0,407,51.0,58.97494937955583
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:08:43,1,2,15,0,0,0,1,2,2,2,2,1,7,8,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.984,5.393,0,3,0,1,0,407,52.83749367201738,58.0
2023-wimbledon-1311,Guido Pella,Roman Safiullin,00:09:25,1,2,16,0,0,0,1,3,2,2,1,1,8,8,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,0,0,47.276,46.491,0,4,0,0,0,407,65.48670942906817,58.0
